ID,Fraction_ID,Envelope_num,Mass,MonoMz,Charge,Intensity,mzLo,mzHi,rtLo,rtHi,color,opacity,promex_score
40,0,76,880.284,881.291,1,1.14953e+08,881.191,884.399,53.6187,119.062,#FF0000,0.1,53.519
40,0,77,880.284,441.149,2,1.02839e+08,441.049,442.753,54.942,118.4,#FF0000,0.1,53.519
41,0,1,9689.41,881.862,11,279434,881.854,883.147,129.083,129.083,#FF0000,0.1,-225.319
41,0,1,9689.41,808.458,12,9.5358e+06,808.441,809.644,132.856,132.856,#FF0000,0.1,-225.319
42,0,2,21812.1,753.148,29,7.277e+06,753.221,754.113,130.805,137.383,#FF0000,0.1,-121.389
42,0,12,21812.1,728.077,30,4.23956e+07,728.144,729.012,131.495,142.656,#FF0000,0.1,-121.389
43,0,1,20800.7,946.495,22,8.916e+06,946.577,947.688,127.533,127.533,#FF0000,0.1,-534.439
43,0,1,20800.7,801.035,26,1.63888e+06,801.089,802.061,132.168,132.168,#FF0000,0.1,-534.439
44,0,2,11368.5,1895.75,6,416626,1895.82,1898.36,124.599,124.945,#FF0000,0.1,41.6991
44,0,6,11368.5,1625.07,7,6.56803e+06,1625.12,1627.32,123.725,125.985,#FF0000,0.1,41.6991
44,0,14,11368.5,1422.07,8,4.22496e+07,1422.09,1424.05,122.65,140.043,#FF0000,0.1,41.6991
44,0,14,11368.5,1264.17,9,4.41937e+07,1264.18,1265.94,120.71,143.003,#FF0000,0.1,41.6991
44,0,10,11368.5,1137.85,10,1.67181e+07,1137.85,1139.46,122.995,142.656,#FF0000,0.1,41.6991
44,0,11,11368.5,1034.5,11,2.15927e+07,1034.5,1035.97,120.71,126.674,#FF0000,0.1,41.6991
44,0,19,11368.5,948.38,12,5.10753e+07,948.363,949.733,119.724,146.762,#FF0000,0.1,41.6991
44,0,21,11368.5,875.505,13,6.36272e+07,875.482,876.762,119.724,138.63,#FF0000,0.1,41.6991
44,0,22,11368.5,813.041,14,7.33195e+07,813.012,814.215,119.724,143.003,#FF0000,0.1,41.6991
44,0,19,11368.5,758.905,15,5.68033e+07,758.872,760.008,120.15,142.656,#FF0000,0.1,41.6991
44,0,17,11368.5,711.537,16,3.84264e+07,711.499,712.576,120.15,128.751,#FF0000,0.1,41.6991
44,0,13,11368.5,669.741,17,1.48516e+07,669.7,670.725,120.15,130.463,#FF0000,0.1,41.6991
44,0,7,11368.5,632.589,18,4.71664e+06,632.545,633.524,123.378,125.648,#FF0000,0.1,41.6991
45,0,1,8469.08,1412.52,6,8.82254e+06,1412.42,1414.62,139.637,139.637,#FF0000,0.1,-741.102
45,0,1,8469.08,770.923,11,220429,770.823,772.117,141.855,141.855,#FF0000,0.1,-741.102
46,0,3,2511.66,1256.84,2,1.33232e+07,1256.74,1259.44,136.261,143.708,#FF0000,0.1,-1422.04
46,0,1,2511.66,628.923,4,94083.5,628.823,630.276,144.124,144.124,#FF0000,0.1,-1422.04
47,0,2,21787,752.282,29,1.09247e+07,752.355,753.246,132.168,133.584,#FF0000,0.1,-84.7165
47,0,3,21787,727.239,30,2.10025e+06,727.307,728.175,132.502,135.213,#FF0000,0.1,-84.7165
48,0,1,12112.5,808.506,15,8.43069e+06,808.473,809.675,136.261,136.261,#FF0000,0.1,-1455.54
49,0,1,10536.4,811.501,13,8.23583e+06,811.478,812.681,127.533,127.533,#FF0000,0.1,-358.897
49,0,1,10536.4,703.435,15,867355,703.402,704.471,125.648,125.648,#FF0000,0.1,-358.897
